"","wavelength","irradiance_20m","irradiance_50m","irradiance_100m","irradiance_200m"
"289","588","0.017","0","0","0"
"290","589","0.015","0","0","0"
"291","590","0.014","0","0","0"
"292","591","0.012","0","0","0"
"293","592","0.01","0","0","0"
"294","593","0.009","0","0","0"
"295","594","0.008","0","0","0"
"296","595","0.007","0","0","0"
"297","596","0.005","0","0","0"
"298","597","0.004","0","0","0"
"299","598","0.003","0","0","0"
"300","599","0.002","0","0","0"
"301","600","0.002","0","0","0"
"302","601","0.002","0","0","0"
"303","602","0.001","0","0","0"
"304","603","0.001","0","0","0"
"305","604","0.001","0","0","0"
"306","605","0.001","0","0","0"
"307","606","0.001","0","0","0"
"308","607","0.001","0","0","0"
"309","608","0.001","0","0","0"
"310","609","0.001","0","0","0"
"311","610","0.001","0","0","0"
"312","611","0.001","0","0","0"
"313","612","0.001","0","0","0"
"314","613","0.001","0","0","0"
"315","614","0.001","0","0","0"
"316","615","0.001","0","0","0"
"317","616","0.001","0","0","0"
"318","617","0.001","0","0","0"
"319","618","0.001","0","0","0"
"320","619","0.001","0","0","0"
"321","620","0.001","0","0","0"
"322","621","0.001","0","0","0"
"323","622","0.001","0","0","0"
"324","623","0.001","0","0","0"
"325","624","0.001","0","0","0"
"326","625","0.001","0","0","0"
"327","626","0","0","0","0"
"328","627","0","0","0","0"
"329","628","0","0","0","0"
"330","629","0","0","0","0"
"331","630","0","0","0","0"
"332","631","0","0","0","0"
"333","632","0","0","0","0"
"334","633","0","0","0","0"
"335","634","0","0","0","0"
"336","635","0","0","0","0"
"337","636","0","0","0","0"
"338","637","0","0","0","0"
"339","638","0","0","0","0"
"340","639","0","0","0","0"
"341","640","0","0","0","0"
"342","641","0","0","0","0"
"343","642","0","0","0","0"
"344","643","0","0","0","0"
"345","644","0","0","0","0"
"346","645","0","0","0","0"
"347","646","0","0","0","0"
"348","647","0","0","0","0"
"349","648","0","0","0","0"
"350","649","0","0","0","0"
"351","650","0","0","0","0"
"352","651","0","0","0","0"
"353","652","0","0","0","0"
"354","653","0","0","0","0"
"355","654","0","0","0","0"
"356","655","0","0","0","0"
"357","656","0","0","0","0"
"358","657","0","0","0","0"
"359","658","0","0","0","0"
"360","659","0","0","0","0"
"361","660","0","0","0","0"
"362","661","0","0","0","0"
"363","662","0","0","0","0"
"364","663","0","0","0","0"
"365","664","0","0","0","0"
"366","665","0","0","0","0"
"367","666","0","0","0","0"
"368","667","0","0","0","0"
"369","668","0","0","0","0"
"370","669","0","0","0","0"
"371","670","0","0","0","0"
"372","671","0","0","0","0"
"373","672","0","0","0","0"
"374","673","0","0","0","0"
"375","674","0","0","0","0"
"376","675","0","0","0","0"
"377","676","0","0","0","0"
"378","677","0","0","0","0"
"379","678","0","0","0","0"
"380","679","0","0","0","0"
"381","680","0","0","0","0"
"382","681","0","0","0","0"
"383","682","0","0","0","0"
"384","683","0","0","0","0"
"385","684","0","0","0","0"
"386","685","0","0","0","0"
"387","686","0","0","0","0"
"388","687","0","0","0","0"
"389","688","0","0","0","0"
"390","689","0","0","0","0"
"391","690","0","0","0","0"
"392","691","0","0","0","0"
"393","692","0","0","0","0"
"394","693","0","0","0","0"
"395","694","0","0","0","0"
"396","695","0","0","0","0"
"397","696","0","0","0","0"
"398","697","0","0","0","0"
"399","698","0","0","0","0"
"400","699","0","0","0","0"
"401","700","0","0","0","0"
